1605.T	Inpex Corporation
5711.T	Mitsubishi Materials Corporation
5713.T	Sumitomo Metal Mining Co., Ltd.
5714.T	Dowa Holdings Co., Ltd.
5801.T	Furukawa Electric Co., Ltd.
5802.T	Sumitomo Electric Industries, Ltd.
5803.T	Fujikura Ltd.
6098.T	Recruit Holdings Co., Ltd.
6103.T	Okuma Corporation
6113.T	Amada Co., Ltd.
6141.T	DMG Mori Co., Ltd.
6178.T	Japan Post Holdings Co., Ltd.
6273.T	SMC Corporation
6301.T	Komatsu Ltd.
6302.T	Sumitomo Heavy Industries, Ltd.
6305.T	Hitachi Construction Machinery Co., Ltd.
6326.T	Kubota Corporation
6361.T	Ebara Corporation
6367.T	Daikin Industries,Ltd.
6417.T	Sankyo Co., Ltd.
6448.T	Brother Industries, Ltd.
6457.T	Glory Ltd.
6501.T	Hitachi, Ltd.
6503.T	Mitsubishi Electric Corporation
6504.T	Fuji Electric Co., Ltd.
6506.T	YASKAWA Electric Corporation
6526.T	Socionext Inc.
6532.T	Baycurrent, Inc.
6594.T	Nidec Corporation
6645.T	OMRON Corporation
6674.T	GS Yuasa Corporation
6701.T	NEC Corporation
6702.T	Fujitsu Limited
6723.T	Renesas Electronics Corporation
6724.T	Seiko Epson Corporation
6752.T	Panasonic Holdings Corporation
6753.T	Sharp Corporation
6758.T	Sony Group Corporation
6762.T	TDK Corporation
6770.T	Alps Alpine Co., Ltd.
6857.T	Advantest Corporation
6861.T	Keyence Corporation
6869.T	Sysmex Corporation
6902.T	DENSO Corporation
6920.T	Lasertec Corporation
6923.T	Stanley Electric Co., Ltd.
6952.T	Casio Computer Co.,Ltd.
6954.T	Fanuc Corporation
6963.T	ROHM Co., Ltd.
6971.T	Kyocera Corporation
6976.T	Taiyo Yuden Co., Ltd.
6981.T	Murata Manufacturing Co., Ltd.
6988.T	Nitto Denko Corporation
7011.T	Mitsubishi Heavy Industries, Ltd.
7012.T	Kawasaki Heavy Industries, Ltd.
7013.T	IHI Corporation
7201.T	Nissan Motor Co., Ltd.
7202.T	Isuzu Motors Limited
7203.T	Toyota Motor Corporation
7211.T	Mitsubishi Motors Corporation
7261.T	Mazda Motor Corporation
7267.T	Honda Motor Co., Ltd.
7269.T	Suzuki Motor Corporation
7270.T	Subaru Corporation
7272.T	Yamaha Motor Co., Ltd.
7309.T	Shimano Inc.
7453.T	Ryohin Keikaku Co., Ltd.
7532.T	Pan Pacific International Holdings Corporation
7729.T	Tokyo Seimitsu Co., Ltd.
7731.T	Nikon Corporation
7733.T	Olympus Corporation
7735.T	SCREEN Holdings Co., Ltd.
7741.T	HOYA Corporation
7747.T	Asahi Intecc Co., Ltd.
7751.T	Canon Inc.
7752.T	Ricoh Company, Ltd.
7832.T	BANDAI NAMCO Holdings Inc.
7911.T	TOPPAN Holdings Inc.
7912.T	Dai Nippon Printing Co., Ltd.
7936.T	ASICS Corporation
7951.T	Yamaha Corporation
7974.T	Nintendo Co., Ltd.
8001.T	ITOCHU Corporation
8002.T	Marubeni Corporation
8015.T	Toyota Tsusho Corporation
8031.T	Mitsui & Co., Ltd.
8035.T	Tokyo Electron Limited
8053.T	Sumitomo Corporation
8058.T	Mitsubishi Corporation
8113.T	Unicharm Corporation
8267.T	Aeon Co., Ltd.
8273.T	Izumi Co., Ltd.
8282.T	K's Holdings Corporation
8303.T	SBI Shinsei Bank, Limited
8304.T	Aozora Bank, Ltd.
8306.T	Mitsubishi UFJ Financial Group, Inc.
8308.T	Resona Holdings, Inc.
8309.T	Sumitomo Mitsui Trust Group, Inc.
8316.T	Sumitomo Mitsui Financial Group, Inc.
8331.T	The Chiba Bank, Ltd.
8354.T	Fukuoka Financial Group, Inc.
8411.T	Mizuho Financial Group, Inc.
8425.T	Mizuho Leasing Company, Limited
8473.T	SBI Holdings, Inc.
8591.T	ORIX Corporation
8593.T	Mitsubishi HC Capital Inc.
8595.T	JAFCO Group Co., Ltd.
8601.T	Daiwa Securities Group Inc.
8604.T	Nomura Holdings, Inc.
8630.T	Sompo Holdings, Inc.
8697.T	Japan Exchange Group, Inc.
8725.T	MS&AD Insurance Group Holdings, Inc.
8750.T	Daiichi Life Group, Inc.
8766.T	Tokio Marine Holdings, Inc.
8795.T	T&D Holdings, Inc.
8801.T	Mitsui Fudosan Co., Ltd.
8802.T	Mitsubishi Estate Co., Ltd.
8804.T	Tokyo Tatemono Co., Ltd.
8830.T	Sumitomo Realty & Development Co., Ltd.
9001.T	Tobu Railway Co., Ltd.
9003.T	Sotetsu Holdings, Inc.
9005.T	Tokyu Corporation
9007.T	Odakyu Electric Railway Co., Ltd.
9008.T	Keio Corporation
9020.T	East Japan Railway Company
9021.T	West Japan Railway Company
9022.T	Central Japan Railway Company
9024.T	Seibu Holdings Inc.
9041.T	Kintetsu Group Holdings Co.,Ltd.
9042.T	Hankyu Hanshin Holdings, Inc.
9044.T	NANKAI Co., Ltd.
9045.T	Keihan Holdings Co., Ltd.
9048.T	Nagoya Railroad Co., Ltd.
9064.T	Yamato Holdings Co., Ltd.
9065.T	Sankyu Inc.
9101.T	Nippon Yusen Kabushiki Kaisha
9104.T	Mitsui O.S.K. Lines, Ltd.
9107.T	Kawasaki Kisen Kaisha, Ltd.
9201.T	Japan Airlines Co., Ltd.
9202.T	ANA Holdings Inc.
9301.T	Mitsubishi Logistics Corporation
9364.T	Kamigumi Co., Ltd.
9432.T	NTT, Inc.
9433.T	KDDI Corporation
9434.T	SoftBank Corp.
9435.T	Hikari Tsushin, Inc.
9501.T	Tokyo Electric Power Company Holdings, Incorporated
9502.T	Chubu Electric Power Company, Incorporated
9503.T	The Kansai Electric Power Company, Incorporated
9504.T	The Chugoku Electric Power Co., Inc.
9506.T	Tohoku Electric Power Company, Incorporated
9507.T	Shikoku Electric Power Company, Incorporated
9508.T	Kyushu Electric Power Company, Incorporated
9509.T	Hokkaido Electric Power Company, Incorporated
9531.T	Tokyo Gas Co.,Ltd.
9532.T	Osaka Gas Co., Ltd.
9533.T	Toho Gas Co., Ltd.
9602.T	Toho Co., Ltd.
9627.T	Ain Holdings Inc.
9633.T	Tokyo Theatres Company, Incorporated
9684.T	Square Enix Holdings Co., Ltd.
9697.T	Capcom Co., Ltd.
9706.T	Japan Airport Terminal Co., Ltd.
9735.T	SECOM CO., LTD.
9739.T	NSW Inc.
9744.T	MEITEC Group Holdings Inc.
9766.T	Konami Group Corporation
9843.T	Nitori Holdings Co., Ltd.
9861.T	Yoshinoya Holdings Co., Ltd.
9983.T	Fast Retailing Co., Ltd.
9984.T	SoftBank Group Corp.
